지역코드,아파트,시도명,시군구,법정동,지번,거래일,전용면적,층,거래금액
47210,현대동산,경상북도,영주시,휴천동,168,2022-04-19,59.595,14,"7,950"
47210,현대대영,경상북도,영주시,휴천동,419,2022-04-20,84.95,4,"11,000"
47210,세영첼시빌,경상북도,영주시,휴천동,1213,2022-04-25,84.9314,13,"17,200"
47210,현대1,경상북도,영주시,휴천동,456,2022-04-26,84.922,11,"10,000"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-04-26,59.76,9,"9,000"
47210,"개나리2,3동",경상북도,영주시,휴천동,412-35,2022-04-27,79.92,3,"6,200"
47210,영주가흥주공3단지,경상북도,영주시,가흥동,1488,2022-04-03,45.32,2,"10,900"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-04-05,84.93,4,"11,500"
47210,그린파크101,경상북도,영주시,가흥동,468-1,2022-04-10,84.142,4,"21,800"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-04-14,59.4512,15,"14,400"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-04-14,45.5936,8,"10,700"
47210,영주가흥코아루노블,경상북도,영주시,가흥동,1619,2022-04-17,84.974,8,"33,800"
47210,영주가흥코아루노블,경상북도,영주시,가흥동,1619,2022-04-17,84.974,8,"33,800"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-04-19,84.4579,3,"24,500"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-04-24,125.24,5,"17,900"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-04-26,84.93,8,"14,550"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-04-26,84.93,8,"14,550"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-04-27,45.0457,3,"6,100"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-04-28,84.93,1,"11,900"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-04-28,59.4512,15,"13,400"
47210,가흥동현대,경상북도,영주시,가흥동,520-3,2022-04-29,63.82,4,"10,500"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-04-30,59.46,9,"8,400"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-04-30,59.46,9,"8,400"
47210,화성리버빌1,경상북도,영주시,가흥동,522-7,2022-04-30,42.2272,15,"6,250"
47210,한솔맨션,경상북도,영주시,풍기읍 성내리,197-1,2022-04-04,57.9,6,"3,420"
47210,한솔맨션,경상북도,영주시,풍기읍 성내리,197-1,2022-04-10,84.48,4,"6,250"
47210,우신강변,경상북도,영주시,풍기읍 성내리,134-1,2022-04-22,69.74,13,"7,000"
47210,백산그랜드,경상북도,영주시,풍기읍 성내리,240-2,2022-04-28,84.9175,5,"21,000"
47210,골든렉시움,경상북도,영주시,풍기읍 동부리,547,2022-04-05,84.8694,9,"24,300"
47210,한양임대1,경상북도,영주시,풍기읍 동부리,305-5,2022-04-09,38.85,5,"3,750"
47210,한양임대,경상북도,영주시,풍기읍 동부리,305-1,2022-04-11,52.35,2,"4,800"
47210,한양임대,경상북도,영주시,풍기읍 동부리,305-1,2022-04-13,38.85,6,"4,050"
47210,한양임대,경상북도,영주시,풍기읍 동부리,305-1,2022-04-20,38.85,3,"3,950"
47210,풍기코아루,경상북도,영주시,풍기읍 동부리,593,2022-04-22,77.464,8,"21,990"
47210,풍기코아루,경상북도,영주시,풍기읍 동부리,593,2022-04-23,77.464,8,"21,990"
47210,철탄,경상북도,영주시,영주동,63-2,2022-05-06,33.18,5,"1,950"
47210,철탄,경상북도,영주시,영주동,63-2,2022-05-13,33.18,1,"3,600"
47210,철탄,경상북도,영주시,영주동,63-2,2022-05-13,33.18,5,"1,950"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-05-23,84.675,1,"16,000"
47210,현대강변타운,경상북도,영주시,영주동,513-1,2022-05-26,62.94,4,"8,400"
47210,주공,경상북도,영주시,영주동,470-220,2022-05-27,49.22,4,"6,200"
47210,주공,경상북도,영주시,영주동,470-220,2022-05-31,59.3,4,"10,300"
47210,코아루,경상북도,영주시,상망동,834,2022-05-10,125.3359,6,"33,700"
47210,동부4차무지개마을,경상북도,영주시,상망동,835-2,2022-05-23,59.886,7,"7,200"
47210,코아루,경상북도,영주시,상망동,834,2022-05-25,125.3359,5,"30,000"
47210,장미,경상북도,영주시,상망동,645-4,2022-05-26,59.91,4,"4,800"
47210,화성타운임대,경상북도,영주시,하망동,71-1,2022-05-12,52.35,4,"4,000"
47210,영남동산2,경상북도,영주시,하망동,96-1,2022-05-12,49.87,1,"4,100"
47210,영남동산2,경상북도,영주시,하망동,96-1,2022-05-28,44.25,3,"3,300"
47210,스카이타운,경상북도,영주시,하망동,366-1,2022-05-30,83.94,7,"20,300"
47210,현대동산,경상북도,영주시,휴천동,168,2022-05-02,59.595,16,"10,200"
47210,현대동산,경상북도,영주시,휴천동,168,2022-05-02,59.595,1,"8,200"
47210,현대2,경상북도,영주시,휴천동,452,2022-05-02,59.407,14,"8,500"
47210,현대동산,경상북도,영주시,휴천동,168,2022-05-03,59.595,8,"8,800"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-05-05,41.99,4,"5,200"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-05-09,41.56,2,"4,100"
47210,현대동산,경상북도,영주시,휴천동,168,2022-05-09,59.595,2,"8,900"
47210,현대1,경상북도,영주시,휴천동,456,2022-05-10,74.507,14,"10,500"
47210,"현대궁전(5,6,7,8동)",경상북도,영주시,휴천동,661,2022-05-11,84.42,4,"5,000"
47210,현대동산,경상북도,영주시,휴천동,168,2022-05-14,77.239,21,"11,350"
47210,늘봄맨션,경상북도,영주시,휴천동,514-1,2022-05-16,84.93,4,"6,300"
47210,현대2,경상북도,영주시,휴천동,452,2022-05-16,59.407,7,"8,700"
47210,현대1,경상북도,영주시,휴천동,456,2022-05-17,74.507,9,"11,000"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-05-17,75.33,19,"10,500"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-05-18,59.76,18,"11,200"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-05-21,75.33,11,"12,000"
47210,현대1,경상북도,영주시,휴천동,456,2022-05-22,84.922,2,"12,200"
47210,현대2,경상북도,영주시,휴천동,452,2022-05-25,74.58,6,"10,300"
47210,현대2,경상북도,영주시,휴천동,452,2022-05-27,74.58,3,"9,900"
47210,영주석미모닝파크,경상북도,영주시,휴천동,706-3,2022-05-28,84.23,8,"24,900"
47210,영주가흥더리브스위트엠,경상북도,영주시,가흥동,2057,2022-05-01,84.9394,13,"29,000"
47210,영주가흥더리브스위트엠,경상북도,영주시,가흥동,2057,2022-05-01,84.9394,13,"29,000"
47210,화성타운,경상북도,영주시,가흥동,534-1,2022-05-03,84.98,1,"9,000"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-05-04,59.2111,15,"20,400"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-05-04,45.0457,4,"6,100"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-05-05,59.46,14,"7,800"
